"","id","text","retweetCount","CreatedAt","author.id","author.userName","author.followers","author.following","author.createdAt","isRetweet","date"
"1499910","1655999756647256064","You're a sanctuary city.
Deal with it.

As Lightfoot Departs, A ‘Woefully Unprepared’ Chicago Leaves Migrants In ‘Inhumane’ Conditions For Weeks — With No Plan In Sight https://t.co/3Ddk0vGGcq",5,"Tue May 09 18:14:43 +0000 2023","526824449","sniffydogs",66361,61290,"Fri Mar 16 21:46:21 +0000 2012",FALSE,"2023-05-09 11:14:43"
"1499932","1656014306016731150","I believe @ShadesOfBlueAn1 has a list of people who died in green card backlog.",6,"Tue May 09 19:12:32 +0000 2023","1189382010046963718","DurbinHypocrite",931,306,"Wed Oct 30 03:22:34 +0000 2019",FALSE,"2023-05-09 12:12:32"
"1499998","1653251726286241794","@MaccaMcculloch @acgrayling I don’t know how you figure that one out.  Around 15 million Brits used Freedom of Movement every year. That vastly exceeds the numbers coming to the UK. 

What system do you want then? Caps / quotas / limits? How does emigration fit with that?",0,"Tue May 02 04:15:02 +0000 2023","14619696","andrewhesselden",11740,10548,"Thu May 01 21:12:28 +0000 2008",FALSE,"2023-05-01 21:15:02"
"1500013","1656397061225431043","@RHe4ther @CounsellingSam @LBC Refugees aren't the issue here.

I would wager he didn't fund organised crime to get here because he was a genuine refugee.

And before the obligatory whinge, any genuine refugee can claim asylum in safe EU France.",0,"Wed May 10 20:33:28 +0000 2023","1391357601586286594","Callan4077",9210,6670,"Sun May 09 11:42:35 +0000 2021",FALSE,"2023-05-10 13:33:28"
"1500069","1656013097595699200","@RepSchneider @ashwin_pande99 Did the Hindu Swayamsevak Sangh talk to you about racist immigration laws that keep “legal” Indian immigrants  in centuries of EB green card backlog because of their country of birth?",4,"Tue May 09 19:07:44 +0000 2023","1189382010046963718","DurbinHypocrite",931,306,"Wed Oct 30 03:22:34 +0000 2019",FALSE,"2023-05-09 12:07:44"
"1500071","1656011384327647232","@SteveScalise @FAIRImmigration We have been enforcing our borders for 30 years, spend billions for doing so.. Without fixing Legal system, nothing will change. Let's give low skill workers 40k visas a year with ZERO path to Green Card and wonder why people come to apply for asylum instead. https://t.co/pRsZRXAJZi",0,"Tue May 09 19:00:55 +0000 2023","4042869442","loveamericatoom",116,534,"Mon Oct 26 01:16:37 +0000 2015",FALSE,"2023-05-09 12:00:55"
"1500078","1656009004198535168","@TomiLahren ""The right way""? You mean marrying Donald Trump or getting Indentured servitude visa sponsor that immigrant can not leave until he/she gets a green card? Hold on! Low skill workers HAVE ZERO PATHS to green cards. Do you know how many visas are for low skill workers a year? https://t.co/KohUtN4aNG",0,"Tue May 09 18:51:28 +0000 2023","4042869442","loveamericatoom",116,534,"Mon Oct 26 01:16:37 +0000 2015",FALSE,"2023-05-09 11:51:28"
"1500095","1656409358412939264","AILA - Biden Administration’s Asylum Transit Ban Will Undermine U.S. Humanitarian Law and Harm Vulnerable Asylum Seekers https://t.co/BNAa4Rk1Df",0,"Wed May 10 21:22:20 +0000 2023","17916838","dkbib",8978,9840,"Sat Dec 06 04:53:42 +0000 2008",FALSE,"2023-05-10 14:22:20"
"1500188","1655210530959761412","31. A week from now, Lee Anderson is speaking at an event called “Free Speech and Cancel Culture with Lee Anderson”

32. But this week, he explained that that anybody doesn’t support the monarchy should be barred from speaking about it, and instead should simply “emigrate”",215,"Sun May 07 13:58:37 +0000 2023","498753368","RussInCheshire",304224,1438,"Tue Feb 21 11:34:20 +0000 2012",FALSE,"2023-05-07 06:58:37"
"1500227","1656396308159111170","@ByrneBarry @AndrewJMullen ""Families fear public services will be overwhelmed with the arrival of hundreds of asylum-seekers to small town with just one dentist and two GP surgeries.""

No need to fear, refugees get special treatment, dentists and doctors will be brought in to visit them.",0,"Wed May 10 20:30:28 +0000 2023","1276592186705018885","citizen_glasgow",1176,997,"Fri Jun 26 19:05:02 +0000 2020",FALSE,"2023-05-10 13:30:28"
"1500230","1656396234175791105","The Department of Integration has confirmed that concerns have been raised in relation to a new proposed accommodation centre for Ukrainian refugees it is planning in Cahersiveen. https://t.co/RMKk79ulHP",1,"Wed May 10 20:30:11 +0000 2023","91334232","Independent_ie",875903,161,"Fri Nov 20 12:55:30 +0000 2009",FALSE,"2023-05-10 13:30:11"
"1500242","1656409065747017728","@SkyyPatriot @DineshDSouza Huh? If by making it hard to file for asylum for these thousand upon thousand of asylum seekers, then sure. I would love for him to make it drastically easier for them. Last thing I want is them to be forced back to the hellish conditions they fled.",0,"Wed May 10 21:21:10 +0000 2023","29560950","Sweasty",418,1358,"Tue Apr 07 22:15:03 +0000 2009",FALSE,"2023-05-10 14:21:10"
"1500325","1656422735533228032","@irishexaminer No, I think Elvish from Lord of the Rings is important. Or how about Arabic, Somali...in fact EVERY SINGLE migrant language must be catered for otherwise that shows..PREJUDICE...and RACISM...YOU NAZI!!!",0,"Wed May 10 22:15:29 +0000 2023","49128279","Alexandernewry",462,243,"Sat Jun 20 21:37:29 +0000 2009",FALSE,"2023-05-10 15:15:29"
"1500329","1656422647217913857","The number of migrants sleeping on El Paso streets drops drastically as ICE deportation flights take off from airport.  https://t.co/SWBqwyUALE",6,"Wed May 10 22:15:08 +0000 2023","15754281","USATODAY",5060286,929,"Wed Aug 06 19:55:31 +0000 2008",FALSE,"2023-05-10 15:15:08"
"1500330","1656422622811365377","RGV Agents Encounter Four Large Groups Within Several Days
https://t.co/M5C26pJhpp
15 Apr 2022

On April 14, 2022

202 migrants in Roma

135 migrants near La Grulla

#CBP_action qt-cbp-media-3542 #borderObserver https://t.co/1FIMJJiMcL",0,"Wed May 10 22:15:02 +0000 2023","895388295496073221","borderObserver",3148,464,"Wed Aug 09 20:56:19 +0000 2017",FALSE,"2023-05-10 15:15:02"
"1500485","1656422111471185920","It is horrifying to see that migrant child labor is thriving in the 21st Century. We need to do better. https://t.co/9ILMD4UmXY",3,"Wed May 10 22:13:00 +0000 2023","16801671","NatImmForum",38825,1975,"Thu Oct 16 03:33:35 +0000 2008",FALSE,"2023-05-10 15:13:00"
"1500550","1656408487335690241","@latimes Most all of asylum applicants are lying.  UCLA: ""More than 99% of illegal aliens enlisted in Biden’s “Dedicated Dockets” program in L.A. CA, are found to have invalid claims for asylum; are ordered deported"" LAT's didn't cover this.

Close the border.  Even Obama understood this. https://t.co/ax2HUtCYng",0,"Wed May 10 21:18:52 +0000 2023","273059145","GaryWHall",1012,1100,"Sun Mar 27 18:59:27 +0000 2011",FALSE,"2023-05-10 14:18:52"
"1500585","1656394838516854791","I would open my door to and defend a real, innocent and helpless refugee fleeing directly from fear of death or torture. I will forcefully eject anyone who demands entry to my house because it’s better than theirs or because they like the look of my TV.",66,"Wed May 10 20:24:38 +0000 2023","2887955249","_HenryBolton",44407,1863,"Sat Nov 22 15:22:13 +0000 2014",FALSE,"2023-05-10 13:24:38"
"1500627","1656421958676824065","Countdown to carnage: Biden administration admits migrants will https://t.co/MIlIFzn69U via @MailOnline 
Biden administration admits migrants will be RELEASED into US with NO WAY to track them as crowds build in Texas, Arizona and California with Title 42 ending TOMORROW",0,"Wed May 10 22:12:24 +0000 2023","976122092721725440","Gally66kg",301,415,"Tue Mar 20 15:43:37 +0000 2018",FALSE,"2023-05-10 15:12:24"
"1500677","1655960364121464834","@danspeerin @TransmediaZone @am640 @TamerGar Of course not! I guess sanctuary city is another conspiracy costing Toronto taxpayers $740Million a year! It's all conspiracies! #topoli but 15 minute city policy is already on council agenda",0,"Tue May 09 15:38:11 +0000 2023","121644639","GSawision",4460,5066,"Wed Mar 10 04:14:50 +0000 2010",FALSE,"2023-05-09 08:38:11"
